YEAR_MONTH,ServiceNo,co2_by_car,co2_by_bus,co2_reduction,passenger_volume
2023-12,10,345727804.253425,1722.192,345726082.06142503,4616018.0
2023-12,100,42203947.34085001,928.9440000000001,42203018.396850005,1044668.0
2023-12,103,2096600949.2131248,11443.439999999999,2096589505.773125,4212830.0
2023-12,105,702235883.2296,8812.032,702227071.1976,1832406.0
2023-12,106,58153143.555500016,717.168,58152426.38750002,932260.0
2023-12,107,12517972.890500002,179.51999999999998,12517793.370500002,801689.0
2023-12,109,285358222.457,5691.84,285352530.61700004,1152796.0
2023-12,10e,216139.152975,55.248000000000005,216083.904975,92431.0
2023-12,117,708175567.8375,6969.312,708168598.5254999,2336500.0
2023-12,117M,734981998.6875,7233.120000000001,734974765.5675001,2336500.0
2023-12,118,254335017.84289998,2754.624,254332263.2189,2123042.0
2023-12,12,55836995.96475001,617.76,55836378.20475,2078342.0
2023-12,123,21705221.783475004,694.2239999999999,21704527.559475,718918.0
2023-12,124,17702039.2784,973.8239999999998,17701065.454400003,417982.0
2023-12,129,849616.1740000001,214.07999999999998,849402.094,91256.0
2023-12,12e,55880381.354,618.24,55879763.114,2078342.0
2023-12,13,9581727.116325002,248.976,9581478.140325002,884914.0
2023-12,130,132177058.965,1189.4399999999998,132175869.525,2555220.0
2023-12,131,10090960.805000002,312.96,10090647.845,741410.0
2023-12,132,657612899.4811,6633.023999999999,657606266.4570999,2279678.0
2023-12,133,145282750.40475,1307.376,145281443.02875,2555220.0
2023-12,135,77657528.058525,668.5919999999999,77656859.46652499,2670774.0
2023-12,136,1611363058.5300002,7951.199999999999,1611355107.3300002,4659888.0
2023-12,137,670847.0660999999,195.264,670651.8021,78998.0
2023-12,139,982729084.12305,5506.991999999999,982723577.13105,4103308.0
2023-12,14,5623522958.5862255,27060.431999999997,5623495898.154225,4778466.0
2023-12,141,60330965.5055,402.24,60330563.265499994,3448814.0
2023-12,143,1010353103.1940001,5393.280000000001,1010347709.9140002,4307596.0
2023-12,145,9037024.139,60.72,9036963.419,3422224.0
2023-12,147,818549070.48,6220.799999999999,818542849.6800001,3025612.0
2023-12,14e,20552971.432575002,571.9200000000001,20552399.512575004,814796.0
2023-12,151,67095089.0,919.1999999999999,67094169.800000004,1678400.0
2023-12,153,555364724.83315,5601.696,555359123.13715,2279678.0
2023-12,154,1361285271.2199001,4585.536,1361280685.6838999,6826118.0
2023-12,155,10144767847.2192,34504.704,10144733342.5152,6760496.0
2023-12,156,413773095.5189,3497.9519999999998,413769597.5669,2719964.0
2023-12,157,8000895463.144676,18550.896,8000876912.248675,9917186.0
2023-12,159,2584820167.4039254,12640.464,2584807526.939925,4701994.0
2023-12,16,864805622.4437,4931.232,864800691.2117,4032532.0
2023-12,161,22555593914.8553,67673.90400000001,22555526240.9513,7663864.0
2023-12,163,3138272015.2192755,15346.991999999998,3138256668.2272754,4701994.0
2023-12,165,714979875.5901,5433.696,714974441.8941001,3025612.0
2023-12,166,786935594.75505,4549.343999999999,786931045.41105,3977454.0
2023-12,167,149436253.6554,3783.7439999999997,149432469.9114,908132.0
2023-12,168,60433959966.42465,147569.376,60433812397.048645,9416718.0
2023-12,169,5966007221.9979,15922.367999999999,5965991299.6299,8615706.0
2023-12,16M,894293563.1003501,5099.376,894288463.7243501,4032532.0
2023-12,17,1518769528.9056,6482.592000000001,1518763046.3136,5387136.0
2023-12,172,9663268020.12,24710.399999999998,9663243309.720001,8992056.0
2023-12,174,755840589.9856,2658.4320000000002,755837931.5536001,6537616.0
2023-12,174e,759416175.6164,2671.008,759413504.6084001,6537616.0
2023-12,175,14293003.3488,224.064,14292779.2848,1466784.0
2023-12,176,340056958.216125,4139.28,340052818.936125,1889042.0
2023-12,178,15941555089.436401,29153.616,15941525935.8204,12573408.0
2023-12,186,547746.01375,193.44,547552.57375,65110.0
2023-12,187,12840368327.499601,23482.224,12840344845.2756,12573408.0
2023-12,188,3107442299.953125,25029.36,3107417270.5931253,2854750.0
2023-12,190,477717664.67280006,4347.648,477713317.02480006,2526572.0
2023-12,192,185566495.8573,656.064,185565839.79330003,6503814.0
2023-12,193,220322877.87330002,778.944,220322098.9293,6503814.0
2023-12,196,5177997424.763625,24916.559999999998,5177972508.203625,4778466.0
2023-12,196e,5018258.859750001,813.8399999999999,5017445.01975,141794.0
2023-12,197,1598388432.907,8674.752,1598379758.1550002,4236820.0
2023-12,198,3089444140.4205008,9881.28,3089434259.1405005,7189222.0
2023-12,2,23470405.784,2172.48,23468233.304,248416.0
2023-12,21,64660093.08705,709.344,64659383.743049994,2096014.0
2023-12,22,340209878.03279996,2727.216,340207150.8168,2868416.0
2023-12,25,146791800.05490002,1308.384,146790491.67090002,2579772.0
2023-12,26,6645762270.2848,22603.775999999998,6645739666.5088005,6760496.0
2023-12,28,5843252281.456501,16910.688000000002,5843235370.7685,7945260.0
2023-12,3,2343272507.0996,8107.727999999999,2343264399.3716,6645664.0
2023-12,30,12931583183.697502,30198.719999999998,12931552984.9775,9846410.0
2023-12,30e,345346133.53980005,2335.968,345343797.57180005,3398963.0
2023-12,31,5813762853.0720005,16825.343999999997,5813746027.728001,7945260.0
2023-12,32,22597557.071000006,155.04000000000002,22597402.031000003,3351448.0
2023-12,33,135562068.81335,908.4479999999999,135561160.36535,3431254.0
2023-12,38,7098842601.309601,20729.088,7098821872.221601,7874484.0
2023-12,39,241676132.81565,1695.312,241674437.50365,3277924.0
2023-12,43,30803185.796450004,329.13599999999997,30802856.660450004,2151964.0
2023-12,43e,55362756.629250005,565.92,55362190.70925,2209787.0
2023-12,46,45469119.6425,503.08799999999997,45468616.5545,2078200.0
2023-12,5,397802392.04225004,3350.64,397799041.40225,2729948.0
2023-12,50,515438839.351125,3717.3599999999997,515435121.99112505,3188286.0
2023-12,506,634301263.1856,7959.552,634293303.6336,1832406.0
2023-12,51,419126103.59075004,3879.84,419122223.75075006,2483966.0
2023-12,513,421952.240875,60.239999999999995,421892.000875,80531.0
2023-12,52,148696655.10662502,1740.72,148694914.38662505,1964206.0
2023-12,54,14249470.4067,295.63199999999995,14249174.7747,1108312.0
2023-12,55,18226529.110124998,378.1919999999999,18226150.918124996,1108170.0
2023-12,57,189040536.01920003,2469.888,189038066.13120002,1759918.0
2023-12,58,263612441.31255,1946.2079999999999,263610495.10455,3114522.0
2023-12,59,633076110.1203,11331.936,633064778.1843,1284596.0
2023-12,61,506204204.36680007,5344.896000000001,506198859.4708001,2177716.0
2023-12,65,1257450569.9521499,5908.1759999999995,1257444661.7761497,4893868.0
2023-12,651,294533.58305,72.864,294460.71905,98294.0
2023-12,652,30134.6657,9.024,30125.6417,38393.0
2023-12,653,68514.27170000001,20.928,68493.34370000001,37639.0
2023-12,654,8160063.234700001,1848.6239999999998,8158214.610700001,75492.0
2023-12,655,997613.45275,306.19199999999995,997307.26075,61297.0
2023-12,656,818011.7580000001,122.976,817888.7820000001,156865.0
2023-12,657,3127534.27505,637.824,3126896.45105,106273.0
2023-12,660,12214911.7113,1040.8319999999999,12213870.8793,239527.0
2023-12,661,5846798.59,918.24,5845880.35,134945.0
2023-12,663,8726663.28125,1063.536,8725599.74525,127074.0
2023-12,665,2866581.5112500004,410.4,2866171.11125,140010.0
2023-12,666,22737.467500000002,13.2,22724.2675,19804.0
2023-12,667,3327123.3230500007,314.976,3326808.3470500004,240315.0
2023-12,668,133999.2135,59.04,133940.1735,26094.0
2023-12,67,2986151820.5837502,9780.96,2986142039.62375,7020130.0
2023-12,671,1318453.3434000001,241.248,1318212.0954000002,118371.0
2023-12,672,250053.65910000002,76.60799999999999,249977.0511,37527.0
2023-12,7,3767974546.5285006,18131.52,3767956415.0085,4778466.0
2023-12,70,13928024.009625,372.24,13927651.769625,430181.0
2023-12,72,3329037063.2490506,14231.904,3329022831.345051,5378614.0
2023-12,74,914355.8031499999,13.152,914342.6511499999,799297.0
2023-12,76,30896906.922900002,605.376,30896301.546900004,1173558.0
2023-12,8,4408155385.845,12757.439999999999,4408142628.405001,7945260.0
2023-12,80,271398624.51305,3780.768,271394843.74505,1650602.0
2023-12,85,4193244345.2588005,17893.824,4193226451.434801,5388424.0
2023-12,850E,8734709.892350001,1323.984,8733385.908350002,207303.0
2023-12,851,1124747628.7971,6530.832,1124741097.9651003,3960056.0
2023-12,851e,655012425.5811,4468.08,655007957.5011001,3359145.0
2023-12,852,2069848969.3686,9285.696,2069839683.6726,5125532.0
2023-12,853,170694222.017475,1187.376,170693034.64147502,3305562.0
2023-12,853M,37120249.60625,258.0,37119991.60625,3308308.0
2023-12,854,14052746615.442001,48831.36,14052697784.082,6617244.0
2023-12,855,3954817130.6682005,25005.888,3954792124.7802,3636628.0
2023-12,856,4589962102.624075,11294.831999999999,4589950807.792076,9344242.0
2023-12,86,2012809017.548525,12083.568,2012796933.980525,3830206.0
2023-12,87,10585457928.565052,52556.831999999995,10585405371.733051,4631218.0
2023-12,88,1989331694.5452,8380.992,1989323313.5532002,5457912.0
2023-12,89e,120704021.55322501,1685.52,120702336.03322501,1640614.0
2023-12,925,633863520.9820001,4594.5599999999995,633858926.422,3172244.0
2023-12,93,49370126.54175,1648.08,49368478.46175,688812.0
2023-12,951E,3981326.426,586.56,3980739.8660000004,156242.0
2023-12,960,44985024.943950005,170.352,44984854.59195001,3036026.0
2023-12,960e,40371176.231750004,152.88,40371023.35175,3036026.0
2023-12,961,26513750.106900003,852.768,26512897.3389,714916.0
2023-12,961M,28119558.680300005,904.4159999999999,28118654.264300004,714916.0
2023-12,963,11054401648.883202,39493.632,11054362155.251202,6436102.0
2023-12,963e,11033106598.647076,39417.551999999996,11033067181.095078,6436102.0
2023-12,969,43654100904.3074,94683.264,43654006221.043396,10601482.0
2023-12,970,16192106.724300003,307.008,16191799.716300003,606371.0
2023-12,976,339730767.4743,2115.936,339728651.53830004,3691876.0
2023-12,980,10907068.094999999,988.8,10906079.295,253638.0
2023-12,981,115568.09150000001,11.904,115556.18750000001,222580.0
2023-12,982E,558416.3618500001,176.928,558239.43385,69425.0
2023-12,985,134317781.16360003,1223.808,134316557.35560003,2523684.0
2023-12,99,591326567.4498,5607.072,591320960.3778001,2424968.0
2023-12,991,762775016.360175,4037.9039999999995,762770978.4561751,4343654.0
2024-01,10,532661963.56122506,2301.7439999999997,532659661.8172251,5321198.0
2024-01,100,38808409.16120001,787.584,38807621.5772,1133036.0
2024-01,103,2175113805.84765,11022.047999999999,2175102783.79965,4537686.0
2024-01,105,529528903.93252504,6198.384,529522705.5485251,1964382.0
2024-01,106,36174320.933400005,385.344,36173935.58940001,1079286.0
2024-01,107,20777624.471,260.15999999999997,20777364.311,1836412.0
2024-01,109,204052793.50500003,3907.2,204048886.305,1200858.0
2024-01,10e,769812.86095,134.064,769678.79695,135716.0
2024-01,117,746086490.3916,6246.143999999999,746080244.2476001,2746578.0
2024-01,117M,774295219.7406,6482.304,774288737.4366001,2746578.0
2024-01,118,350738109.8676,3214.5119999999997,350734895.3556,2508896.0
2024-01,12,74854071.1737,728.784,74853342.3897,2361736.0
2024-01,123,20255197.16025,570.672,20254626.488250002,816140.0
2024-01,124,20030273.460750002,1094.6399999999999,20029178.82075,420756.0
2024-01,129,1212366.10075,278.68799999999993,1212087.41275,100030.0
2024-01,12e,74859001.2976,728.832,74858272.46560001,2361736.0
2024-01,13,30190761.400800005,557.568,30190203.8328,1245062.0
2024-01,130,153887724.627,1266.72,153886457.907,2793432.0
2024-01,131,19465996.434299998,527.904,19465468.5303,847884.0
2024-01,132,773524435.3112249,6809.1359999999995,773517626.175225,2612142.0
2024-01,133,169235678.0646,1393.056,169234285.0086,2793432.0
2024-01,135,76144522.575,595.584,76143926.991,2939750.0
2024-01,136,1755793024.896,7643.135999999999,1755785381.7599998,5282220.0
2024-01,137,1223999.0159749999,331.82399999999996,1223667.191975,84818.0
2024-01,139,967787189.4068999,4942.655999999999,967782246.7509,4502298.0
2024-01,14,5952809047.198125,25641.84,5952783405.358125,5338110.0
2024-01,141,93036564.22500001,570.24,93035993.98500001,3751550.0
2024-01,143,1081452250.9272,5336.832,1081446914.0952,4659492.0
2024-01,145,19926924.675750002,123.11999999999999,19926801.55575,3721572.0
2024-01,147,891791278.307425,5901.072,891785377.235425,3474938.0
2024-01,14e,20611925.568,599.04,20611326.528,395592.0
2024-01,151,93492003.26412499,1099.9199999999998,93490903.344125,1954466.0
2024-01,153,652972906.547325,5747.952,652967158.595325,2612142.0
2024-01,154,1266982505.0123,3793.344,1266978711.6683002,7680034.0
2024-01,155,10784376209.8176,33503.615999999995,10784342706.2016,7401472.0
2024-01,156,436050349.8547499,3252.3839999999996,436047097.4707499,3082830.0
2024-01,157,8069333943.5772,16817.471999999998,8069317126.1052,11032952.0
2024-01,159,2923758873.7554,13063.824,2923745809.9314003,5146192.0
2024-01,16,913183122.6203,4691.9039999999995,913178430.7163,4475314.0
2024-01,161,25746769140.997623,67683.504,25746701457.493626,8746910.0
2024-01,163,3552130209.3247995,15871.487999999998,3552114337.8367996,5146192.0
2024-01,165,778658938.0697252,5152.464,778653785.605725,3474938.0
2024-01,166,758039049.348875,3932.88,758035116.4688749,4431958.0
2024-01,167,120697669.51200001,2685.312,120694984.20000002,1033520.0
2024-01,168,70441922859.90143,152660.688,70441770199.21342,10610082.0
2024-01,169,6838261461.307,16203.648,6838245257.659,9703930.0
2024-01,16M,944255339.6051501,4851.552000000001,944250488.0531502,4475314.0
2024-01,17,1641097544.42625,6275.952,1641091268.47425,6012700.0
2024-01,170X,647279.6253000001,10.943999999999999,647268.6813,679987.0
2024-01,172,10054604520.975151,22781.856,10054581739.11915,10148238.0
2024-01,174,448953765.22485,1403.568,448952361.65685,7355004.0
2024-01,174e,451379629.41915005,1411.152,451378218.26715004,7355004.0
2024-01,175,10381976.357700001,141.40800000000002,10381834.949700002,1688188.0
2024-01,176,316659005.96245,3300.384,316655705.57845,2206186.0
2024-01,178,17947881691.364925,28978.128,17947852713.236927,14241562.0
2024-01,186,856433.7068499998,272.92799999999994,856160.7788499999,72154.0
2024-01,187,14458320531.854774,23343.983999999997,14458297187.870775,14241562.0
2024-01,188,2658269793.4814997,19158.479999999996,2658250635.0014997,3190456.0
2024-01,190,525973752.546975,4220.2080000000005,525969532.3389751,2865794.0
2024-01,192,204895273.86502498,643.536,204894630.329025,7321058.0
2024-01,193,245211059.08587503,770.1600000000001,245210288.925875,7321058.0
2024-01,196,5481335828.514376,23610.96,5481312217.554375,5338110.0
2024-01,196e,4909707.816000001,711.36,4908996.456,160192.0
2024-01,197,1376904602.3128,6834.432,1376897767.8808,4632508.0
2024-01,198,3094662815.8383,8777.664,3094654038.1743,8106794.0
2024-01,2,19895428.72625,2098.3199999999997,19893330.40625,218020.0
2024-01,21,62619062.148,603.6479999999999,62618458.5,2385270.0
